name,city,country
Acer Arena,Sydney,Australia
Adelaide Arena,Adelaide,Australia
Adelaide Entertainment Centre,Adelaide,Australia
Allphones Arena,Sydney,Australia
Arena Manawatu,Palmerston North,New Zealand
ASB Baypark Arena,Tauranga,New Zealand
Brisbane Convention and Exhibition Centre,Brisbane,Australia
CBS Canterbury Arena,Christchurch,New Zealand
Challenge Stadium,Perth,Australia
Claudelands Arena,Hamilton,New Zealand
Edgar Centre,Dunedin,New Zealand
Energy Events Centre,Rotorua,New Zealand
ETSA Park,Adelaide,Australia
Gold Coast Convention and Exhibition Centre,Brisbane,Australia
Hisense Arena,Melbourne,Australia
Invercargil ILT Velodrome,Invercargill,New Zealand
Lion Foundation Arena,Dunedin,New Zealand
Mystery Creek Events Centre,Hamilton,New Zealand
Netball SA Stadium,Adelaide,Australia
Newcastle Entertainment Centre,Newcastle,Australia
North Shore Events Centre,Auckland,New Zealand
Perth Arena,Perth,Australia
Pettigrew Green Arena,Napier,New Zealand
Queen Elizabeth Youth Centre,Tauranga,New Zealand
Rod Laver Arena,Melbourne,Australia
Stadium Southland Velodrome,Invercargill,New Zealand
Stadium Southland,Invercargill,New Zealand
State Netball and Hockey Centre,Melbourne,Australia
State Sports Centre,Sydney,Australia
Sydney Olympic Park Sports Centre,Sydney,Australia
Taupo Events Centre,Taupo,New Zealand
Te Rauparaha Arena,Porirua,New Zealand
TECT Arena,Tauranga,New Zealand
The Edgar Centre,Dunedin,New Zealand
Trafalgar Centre,Nelson,New Zealand
Trusts Stadium,Auckland,New Zealand
TSB Bank Arena,Wellington,New Zealand
Vector Arena,Auckland,New Zealand
Vodafone Arena,Melbourne,New Zealand
